Epoch 1/50, Train Loss: 2.4794, Train F1: 0.1121, Val Loss: 2.1885, Val F1: 0.0405
Epoch 2/50, Train Loss: 2.1623, Train F1: 0.0693, Val Loss: 1.9851, Val F1: 0.2171
Epoch 3/50, Train Loss: 1.9671, Train F1: 0.1807, Val Loss: 2.0867, Val F1: 0.0910
Epoch 4/50, Train Loss: 1.9309, Train F1: 0.2040, Val Loss: 1.8465, Val F1: 0.3872
Epoch 5/50, Train Loss: 1.8251, Train F1: 0.2249, Val Loss: 1.7850, Val F1: 0.3002
Epoch 6/50, Train Loss: 1.7223, Train F1: 0.2714, Val Loss: 1.7438, Val F1: 0.3544
Epoch 7/50, Train Loss: 1.6468, Train F1: 0.3287, Val Loss: 1.7213, Val F1: 0.3678
Epoch 8/50, Train Loss: 1.5700, Train F1: 0.3449, Val Loss: 1.5910, Val F1: 0.4472
Epoch 9/50, Train Loss: 1.4453, Train F1: 0.4149, Val Loss: 1.6672, Val F1: 0.2861
Epoch 10/50, Train Loss: 1.3970, Train F1: 0.4571, Val Loss: 1.7479, Val F1: 0.3190
Epoch 11/50, Train Loss: 1.3275, Train F1: 0.4854, Val Loss: 1.6189, Val F1: 0.3499
Epoch 12/50, Train Loss: 1.2397, Train F1: 0.5019, Val Loss: 1.4322, Val F1: 0.5636
Epoch 13/50, Train Loss: 1.1928, Train F1: 0.5778, Val Loss: 1.3992, Val F1: 0.4942
Epoch 14/50, Train Loss: 1.1643, Train F1: 0.5685, Val Loss: 1.4115, Val F1: 0.5424
Epoch 15/50, Train Loss: 1.1120, Train F1: 0.6189, Val Loss: 1.4374, Val F1: 0.5838
Epoch 16/50, Train Loss: 1.1086, Train F1: 0.6270, Val Loss: 1.4384, Val F1: 0.5720
Epoch 17/50, Train Loss: 1.0730, Train F1: 0.6009, Val Loss: 1.3731, Val F1: 0.5420
Epoch 18/50, Train Loss: 1.0772, Train F1: 0.5768, Val Loss: 1.3577, Val F1: 0.6094
Epoch 19/50, Train Loss: 1.0205, Train F1: 0.6460, Val Loss: 1.3598, Val F1: 0.6088
Epoch 20/50, Train Loss: 1.0314, Train F1: 0.6551, Val Loss: 1.3329, Val F1: 0.6713
Epoch 21/50, Train Loss: 1.0067, Train F1: 0.6727, Val Loss: 1.3304, Val F1: 0.6713
Epoch 22/50, Train Loss: 0.9865, Train F1: 0.6786, Val Loss: 1.3297, Val F1: 0.6713
Epoch 23/50, Train Loss: 0.9867, Train F1: 0.6631, Val Loss: 1.3297, Val F1: 0.6094
Epoch 24/50, Train Loss: 0.9952, Train F1: 0.6469, Val Loss: 1.3294, Val F1: 0.6094
Epoch 25/50, Train Loss: 0.9926, Train F1: 0.6639, Val Loss: 1.3330, Val F1: 0.6094
Epoch 26/50, Train Loss: 0.9697, Train F1: 0.6589, Val Loss: 1.3351, Val F1: 0.6094
Epoch 27/50, Train Loss: 0.9801, Train F1: 0.6421, Val Loss: 1.3369, Val F1: 0.6094
Epoch 28/50, Train Loss: 0.9759, Train F1: 0.6587, Val Loss: 1.3346, Val F1: 0.6094
Epoch 29/50, Train Loss: 0.9717, Train F1: 0.6391, Val Loss: 1.3325, Val F1: 0.5880
Epoch 30/50, Train Loss: 0.9563, Train F1: 0.6815, Val Loss: 1.3262, Val F1: 0.6094
Epoch 31/50, Train Loss: 0.9702, Train F1: 0.6655, Val Loss: 1.3257, Val F1: 0.6094
Epoch 32/50, Train Loss: 0.9696, Train F1: 0.6882, Val Loss: 1.3256, Val F1: 0.6094
Epoch 33/50, Train Loss: 1.0097, Train F1: 0.6352, Val Loss: 1.3254, Val F1: 0.6094
Epoch 34/50, Train Loss: 0.9675, Train F1: 0.6762, Val Loss: 1.3253, Val F1: 0.6094
Epoch 35/50, Train Loss: 0.9889, Train F1: 0.6509, Val Loss: 1.3251, Val F1: 0.6094
Epoch 36/50, Train Loss: 0.9783, Train F1: 0.6611, Val Loss: 1.3247, Val F1: 0.6094
Epoch 37/50, Train Loss: 0.9650, Train F1: 0.6614, Val Loss: 1.3245, Val F1: 0.6094
Epoch 38/50, Train Loss: 0.9710, Train F1: 0.6734, Val Loss: 1.3245, Val F1: 0.6094
Epoch 39/50, Train Loss: 0.9847, Train F1: 0.6618, Val Loss: 1.3243, Val F1: 0.6094
Epoch 40/50, Train Loss: 0.9976, Train F1: 0.6809, Val Loss: 1.3246, Val F1: 0.6094
Epoch 41/50, Train Loss: 0.9525, Train F1: 0.6557, Val Loss: 1.3245, Val F1: 0.6094
Epoch 42/50, Train Loss: 0.9626, Train F1: 0.7003, Val Loss: 1.3245, Val F1: 0.6094
Epoch 43/50, Train Loss: 0.9610, Train F1: 0.6680, Val Loss: 1.3245, Val F1: 0.6094
Epoch 44/50, Train Loss: 0.9633, Train F1: 0.6881, Val Loss: 1.3245, Val F1: 0.6094
Epoch 45/50, Train Loss: 0.9683, Train F1: 0.6523, Val Loss: 1.3245, Val F1: 0.6094
Epoch 46/50, Train Loss: 0.9624, Train F1: 0.6864, Val Loss: 1.3245, Val F1: 0.6094
Epoch 47/50, Train Loss: 0.9764, Train F1: 0.6592, Val Loss: 1.3244, Val F1: 0.6094
Epoch 48/50, Train Loss: 0.9755, Train F1: 0.6476, Val Loss: 1.3244, Val F1: 0.6094
Epoch 49/50, Train Loss: 0.9749, Train F1: 0.6899, Val Loss: 1.3245, Val F1: 0.6094
Epoch 50/50, Train Loss: 0.9889, Train F1: 0.6760, Val Loss: 1.3245, Val F1: 0.6094
